kode_produk,nama_produk,kategori_id,vendor_id,jenis,deskripsi,spesifikasi,harga_satuan,harga_grosir,satuan,stok_minimal,stok_tersedia,gambar,status,created_at,updated_at,harga_diskon,is_featured
BROTHER-S-756,Brother ADS-3100 Scanner,2,1,barang_it,"""ADS-3100 memiliki desain yang ringkas sangat ideal untuk bisnis kecil atau ruang kerja kantor maupun rumahan. Tidak perlu menyediakan ruang untuk mesin yang besar. Spesifikasi amp; Features : - Kecepatan Scan : 40 ppm colour/mono - Resolusi : up to 600x600 dpi (max resolution from ADF) up to 1200x1200 dpi (max resolution interpolated) - Kapasitas Kertas : 60 Lembar - Ukuran Kertas Minimum : 51 mm x 51 mm - Ukuran Kertas Maximum : 216 mm x 5,000 mm - Ketebalan Kertas : 40 - 200 gsm - Maximum Ketebalan Kertas : 1.32 mm - Power : Ready mode : 7W, Sleep mode : 1.5W - Teknologi Scanner : Dual CIS - Control Panel : Rubber Keys - Drivers : ICA, SANE, TWAIN, WIA - Koneksi : USB 3.0, Software Bawaan ABBYY FineReader Pro, ABBYY PDF Transformer Plus, BRAdmin Professional 4, Brother Control Center, Nuance PaperPort 14SE, Brother iPrint amp;Scan - Kompatibilitas : WIndows 11, Windows 10 (Home|Pro|Education|Enterprise) (32 or 64 bit editions), Windows 8.1(32 or 64 bit editions), Windows 7 SP1 (32 or 64 bit editions), Windows Server 2019, 2016, 2012R2, 2012, macOS 10.14.x or greater, Linux - Memory Standard : 512 MB - Fitur Unggulan Lainnya : Auto Scan Size, Auto Deskew, Skip Blank Page, Auto Colour Detection, Auto Image Rotation, Blurred Character Correction, Colour Dropout, Colour Tone Adjustment, Noise Reduction, Multifeed Detection, Punch Hole Removal, Quiet Mode, Plastic Card Mode Fitur Unggulan : Scan to email, Image, OCR, File, Scan to USB, Searchable PDF, USB Host - Dimensi (H x W x D) : 630 mm x 299 mm x 290 mm - Berat Unit : 2.6 kg Garasi Resmi 3 Tahun / 1.000.000 lembar""","""ADS-3100 memiliki desain yang ringkas sangat ideal untuk bisnis kecil atau ruang kerja kantor maupun rumahan. Tidak perlu menyediakan ruang untuk mesin yang besar. Spesifikasi amp; Features : - Kecepatan Scan : 40 ppm colour/mono - Resolusi : up to 600x600 dpi (max resolution from ADF) up to 1200x1200 dpi (max resolution interpolated) - Kapasitas Kertas : 60 Lembar - Ukuran Kertas Minimum : 51 mm x 51 mm - Ukuran Kertas Maximum : 216 mm x 5,000 mm - Ketebalan Kertas : 40 - 200 gsm - Maximum Ketebalan Kertas : 1.32 mm - Power : Ready mode : 7W, Sleep mode : 1.5W - Teknologi Scanner : Dual CIS - Control Panel : Rubber Keys - Drivers : ICA, SANE, TWAIN, WIA - Koneksi : USB 3.0, Software Bawaan ABBYY FineReader Pro, ABBYY PDF Transformer Plus, BRAdmin Professional 4, Brother Control Center, Nuance PaperPort 14SE, Brother iPrint amp;Scan - Kompatibilitas : WIndows 11, Windows 10 (Home|Pro|Education|Enterprise) (32 or 64 bit editions), Windows 8.1(32 or 64 bit editions), Windows 7 SP1 (32 or 64 bit editions), Windows Server 2019, 2016, 2012R2, 2012, macOS 10.14.x or greater, Linux - Memory Standard : 512 MB - Fitur Unggulan Lainnya : Auto Scan Size, Auto Deskew, Skip Blank Page, Auto Colour Detection, Auto Image Rotation, Blurred Character Correction, Colour Dropout, Colour Tone Adjustment, Noise Reduction, Multifeed Detection, Punch Hole Removal, Quiet Mode, Plastic Card Mode Fitur Unggulan : Scan to email, Image, OCR, File, Scan to USB, Searchable PDF, USB Host - Dimensi (H x W x D) : 630 mm x 299 mm x 290 mm - Berat Unit : 2.6 kg Garasi Resmi 3 Tahun / 1.000.000 lembar""",5495000.00,,unit,10,10,68c26c91d3da2.jpg,aktif,2025-09-11 05:32:00,2025-09-11 08:32:04,0,1
SPC-PSU-45-897,SPC Power Supply 450W,1,1,barang_it,"""- AC Input 115 VAC or 230 VAC, 50-60 HZ\r\n- Dual +12V output\r\n- Nosiless 80 mm fan\r\n- 24 pin power cable\r\n- SATA power cable\r\n\r\n- 4P Molex power cable\r\n- SATA/ATA Ready\r\n- 80mm Silent Fan\r\n- 450 Watt\r\n- Pure 225 Watt\r\n- Recommended Power Supply for Intel & AMD""","""- AC Input 115 VAC or 230 VAC, 50-60 HZ\r\n- Dual +12V output\r\n- Nosiless 80 mm fan\r\n- 24 pin power cable\r\n- SATA power cable\r\n\r\n- 4P Molex power cable\r\n- SATA/ATA Ready\r\n- 80mm Silent Fan\r\n- 450 Watt\r\n- Pure 225 Watt\r\n- Recommended Power Supply for Intel & AMD""",110000.00,,unit,10,10,68c26e794cf89.png,aktif,2025-09-11 05:42:22,2025-09-11 07:48:15,0,1
P-634,Venomrx Power Core 500W PSU,1,1,barang_it,"""- 8Cm Fan\r\n- 115-240V Range Voltage\r\n- A+ Capasitor\r\n- A+ Component\r\n- 80% Efficiency\r\n- Rated Output Power 300W\r\n- AC Input 200-240V, 3.5A Max, 50-60Hz\r\n\r\nConnector:\r\n- ATX (20+4) PIN 450mm\r\n- ATX 4 PIN 450mm\r\n- MOLEX+MOLEX+SATA+SATA 900mm\r\n- Product Dimension: 150mmx110mmx86mm""","""- 8Cm Fan\r\n- 115-240V Range Voltage\r\n- A+ Capasitor\r\n- A+ Component\r\n- 80% Efficiency\r\n- Rated Output Power 300W\r\n- AC Input 200-240V, 3.5A Max, 50-60Hz\r\n\r\nConnector:\r\n- ATX (20+4) PIN 450mm\r\n- ATX 4 PIN 450mm\r\n- MOLEX+MOLEX+SATA+SATA 900mm\r\n- Product Dimension: 150mmx110mmx86mm""",150000.00,,unit,10,10,68c26f48486a5.jpg,aktif,2025-09-11 05:49:42,2025-09-11 06:42:16,0,0
TP-LINK-WR-028,TP-Link WR840N 300M Router Wireless Lan,3,1,barang_it,"""- Tingkat transmisi nirkabel 300Mbps ideal untuk tugas sensitif bandwidth dan pekerjaan dasar\r\n- Mendukung mode Titik Akses untuk membuat titik akses Wi-Fi baru\r\n- Mendukung mode Range Extender untuk meningkatkan jangkauan nirkabel yang ada di kamar anda\r\n- Kontrol Orang Tua mengatur kapan dan bagaimana perangkat yang terhubung dapat mengakses internet\r\n- IPTV mendukung IGMP Proxy / Snooping, Bridge dan Tag VLAN untuk mengoptimalkan streaming - \r\n  IPTV\r\n- kompatibel dengan IPv6 (Protokol Internet versi 6)\r\n- Guest Network menyediakan akses terpisah untuk tamu sambil mengamankan jaringan rumah\r\n- Guest Network 2.4GHz""","""- Interface : 4 10/100Mbps LAN PORTS, 1 10/100Mbps WAN PORT\r\n- Button : WPS/RESET Button\r\n- Antenna : 2 Antennas\r\n- External Power Supply : 9VDC / 0.6A\r\n- Wireless Standards : IEEE 802.11n, IEEE 802.11g, IEEE 802.11b\r\n- Dimensions ( W x D x H ) : 7.2 x 5.0 x 1.4in.(182 x 128 x 35 mm)\r\n- Wireless Functions : Enable/Disable Wireless Radio, WDS Bridge, WMM, Wireless Statistics\r\n- Wireless Security : 64/128-bit WEP, WPA / WPA2,WPA-PSK / WPA2-PSK\r\n- Quality of Service : WMM, Bandwidth Control\r\n- WAN Type : Dynamic IP/Static IP/PPPoE/ PPTP/L2TP\r\n- Management : Access Control, Local Management, Remote Management\r\n- DHCP : Server, Client, DHCP Client List, Address Reservation\r\n- Port Forwarding : Virtual Server,Port Triggering, UPnP, DMZ\r\n- Dynamic DNS : DynDns, Comexe, NO-IP\r\n- VPN Pass-Through : PPTP, L2TP, IPSec (ESP Head)\r\n- Access Control : Parental Control, Local Management Control, Host List, Access Schedule, Rule Management\r\n- Firewall Security : DoS, SPI Firewall, IP Address Filter/MAC Address Filter/Domain Filter, IP and MAC Address Binding\r\n- Protocols : Support IPv4 and IPv6\r\n- Guest Network : 2.4GHz Guest Network x1\r\n- Certification : CE, RoHS\r\n- Package Contents : TL-WR840N, Power supply unit, Resource CD, Ethernet Cable, Quick Installation Guide\r\n- System Requirements : Windows 2000/XP/Vista, Windows 7, Windows 8, Windows 8.1, Windows 10 or Mac OS or Linux-based operating system""",150000.00,,unit,10,1,68c26ef59ab3f.jpeg,aktif,2025-09-11 05:57:50,2025-09-13 08:10:19,0,0
VENOMRX-11-277,Venomrx 1150 H81 MA2-V3 (+Slot NVME),1,1,barang_it,"""Support NVME M,2 Slot 1 buah Processor : Support Intel Core i7/i5/i3/Pentium/ Celeron processors in the LGA1150 package. Support Intel 4th generation multi-core processors Chipset : Intel H81 On-Board graphics : Integrated Graphics Processor Memory Support : Dual Channel DDR3 1333/1600MHz Memory, up to 16GB Dimm 2 x Memory Slots (Max. up to 8GB each) LAN : Realtek RTL8105E 100M / RTL8111E 1000 Mbps on board Audio Chip : integrated by Realtek ALC662 on board, Supports 6-channel audio-out Slot : 1 x PCI Express x16 Slot Storage : 4 x SATA II port Internal Slot : I/O Ports 1 x 24-pin ATX Power Connetor 1 x 4-pin ATX 12V Power Connetor 1 x USB 2.0 connector support additional 2 USB 2.0 ports 1 x Front panel audio connector 1 x System Panel connector Back I/O Ports : 1 x USB 2.0 keyboard port 1 x USB 2.0 mouse port 1 x VGA 1 x HDMI 2 x USB 2.0 2 x USB 3.0 1 x LAN jack 3 x Audio jack BIOS : AMI BIOS Form Factor : Micro ATX - 190*170 mm Accessories : 1 x Driver CD 1 x User Manual 1 x I/O Backboard 1 x SATA cable""","""Support NVME M,2 Slot 1 buah Processor : Support Intel Core i7/i5/i3/Pentium/ Celeron processors in the LGA1150 package. Support Intel 4th generation multi-core processors Chipset : Intel H81 On-Board graphics : Integrated Graphics Processor Memory Support : Dual Channel DDR3 1333/1600MHz Memory, up to 16GB Dimm 2 x Memory Slots (Max. up to 8GB each) LAN : Realtek RTL8105E 100M / RTL8111E 1000 Mbps on board Audio Chip : integrated by Realtek ALC662 on board, Supports 6-channel audio-out Slot : 1 x PCI Express x16 Slot Storage : 4 x SATA II port Internal Slot : I/O Ports 1 x 24-pin ATX Power Connetor 1 x 4-pin ATX 12V Power Connetor 1 x USB 2.0 connector support additional 2 USB 2.0 ports 1 x Front panel audio connector 1 x System Panel connector Back I/O Ports : 1 x USB 2.0 keyboard port 1 x USB 2.0 mouse port 1 x VGA 1 x HDMI 2 x USB 2.0 2 x USB 3.0 1 x LAN jack 3 x Audio jack BIOS : AMI BIOS Form Factor : Micro ATX - 190*170 mm Accessories : 1 x Driver CD 1 x User Manual 1 x I/O Backboard 1 x SATA cable""",345000.00,,unit,10,10,68c26f1920a6a.jpg,aktif,2025-09-11 06:05:33,2025-09-11 06:41:29,0,0
M-548,MSI Modern 14 C12MO Laptop,1,1,barang_it,"""Processor : 12th Gen Intel?? Core??? i5-1235U processor, 10 cores (2 P-cores + 8 E-cores), Max Turbo Frequency 4.4 GHz\r\nDisplay : 14??? FHD (1920*1080), 60Hz, 45%NTSC IPS-Level\r\nMemory : 16GB DDR4-3200 Onboard\r\nStorage : 1TB NVMe PCIe Gen3x4 SSD\r\nGraphics : Intel?? Iris?? Xe graphics\r\nKeyboard : Backlight Keyboard (Single-Color, White)\r\nWireless : Intel?? Wi-Fi 6E AX211, Bluetooth v5.3\r\nConectivity : 1x Type-C USB3.2 Gen2 with PD charging; 1x Type-A USB3.2 Gen2; 2x Type-A USB2.0; 1x (4K @ 30Hz) HDMI; 1x Micro SD Card Reader\r\nWebcam : HD type (30fps@720p)\r\nAudio : 2x 2W Speaker\r\nBattery : 3 cell, 39.3Whr, 65W adapter\r\nOS : Windows 11 Home + OHS 2021""","""Processor : 12th Gen Intel?? Core??? i5-1235U processor, 10 cores (2 P-cores + 8 E-cores), Max Turbo Frequency 4.4 GHz\r\nDisplay : 14??? FHD (1920*1080), 60Hz, 45%NTSC IPS-Level\r\nMemory : 16GB DDR4-3200 Onboard\r\nStorage : 1TB NVMe PCIe Gen3x4 SSD\r\nGraphics : Intel?? Iris?? Xe graphics\r\nKeyboard : Backlight Keyboard (Single-Color, White)\r\nWireless : Intel?? Wi-Fi 6E AX211, Bluetooth v5.3\r\nConectivity : 1x Type-C USB3.2 Gen2 with PD charging; 1x Type-A USB3.2 Gen2; 2x Type-A USB2.0; 1x (4K @ 30Hz) HDMI; 1x Micro SD Card Reader\r\nWebcam : HD type (30fps@720p)\r\nAudio : 2x 2W Speaker\r\nBattery : 3 cell, 39.3Whr, 65W adapter\r\nOS : Windows 11 Home + OHS 2021""",7200000.00,,unit,10,10,68c26e185e3b1.jpg,aktif,2025-09-11 06:09:56,2025-09-11 06:37:12,0,0
P-955,EPSON L4260 Printer,2,1,barang_it,"""Print - Scan - Copy\r\nwifi direct - epson connet - epson smart panel\r\nDuplex printing\r\nKecepatan cetak draf A4 (hitam/ warna) : 33/15ppm\r\nIso 24734 simpleks A4(hitam/warna) : 10.5/5.0 ipm\r\nIso 24734 dupleks A4 (hitam) : 6.0/4.0 ipm\r\nKecepatan cetak foto 4R,Default,Border : 69 detik\r\nKecepatan cetak foto 4R tanpa border : 92 detik\r\nHasil halaman (hitam/warna) : 7,500/6,000 halaman\r\nResolusi cetak maks : 5.760/1,440 dpi\r\nResolusi Optik Pemindai : 1,200/2,400 dpi\r\nModel Tinta : 001\r\nDimensi (W x D x H) : 375 x 347 x 187 mm\r\nBerat tanpa packaging : 5,4 kg\r\nMaximum Paper Size: 215.9 x 1200 mm\r\nOperating System Compatibility: Windows XP / XP Professional / Vista / 7 / 8 / 8.1 / 10\r\nWindows Server 2003 / 2008 / 2012 / 2016 / 2019\r\nOnly printing functions are supported for Windows Server OS\r\nMac OS X 10.6.8 or later""","""Print - Scan - Copy\r\nwifi direct - epson connet - epson smart panel\r\nDuplex printing\r\nKecepatan cetak draf A4 (hitam/ warna) : 33/15ppm\r\nIso 24734 simpleks A4(hitam/warna) : 10.5/5.0 ipm\r\nIso 24734 dupleks A4 (hitam) : 6.0/4.0 ipm\r\nKecepatan cetak foto 4R,Default,Border : 69 detik\r\nKecepatan cetak foto 4R tanpa border : 92 detik\r\nHasil halaman (hitam/warna) : 7,500/6,000 halaman\r\nResolusi cetak maks : 5.760/1,440 dpi\r\nResolusi Optik Pemindai : 1,200/2,400 dpi\r\nModel Tinta : 001\r\nDimensi (W x D x H) : 375 x 347 x 187 mm\r\nBerat tanpa packaging : 5,4 kg\r\nMaximum Paper Size: 215.9 x 1200 mm\r\nOperating System Compatibility: Windows XP / XP Professional / Vista / 7 / 8 / 8.1 / 10\r\nWindows Server 2003 / 2008 / 2012 / 2016 / 2019\r\nOnly printing functions are supported for Windows Server OS\r\nMac OS X 10.6.8 or later""",3400000.00,,unit,10,10,68c26cf313527.jpg,aktif,2025-09-11 06:14:35,2025-09-11 06:32:19,0,0
P-619,EPSON L3250 Printer,2,1,barang_it,"""Print, scan, copy (Full A4)\r\nTinta Anti Tumpah\r\nWi-Fi & Wi-Fi Direct\r\nBorderless Hingga 4R\r\n\r\nSupport Tinta Tipe :\r\nEpson 003""","""Print, scan, copy (Full A4)\r\nTinta Anti Tumpah\r\nWi-Fi & Wi-Fi Direct\r\nBorderless Hingga 4R\r\n\r\nSupport Tinta Tipe :\r\nEpson 003""",2450000.00,,unit,10,10,68c26cc2336f6.jpg,aktif,2025-09-11 06:17:44,2025-09-11 07:58:31,0,1
M-769,Logitech Mouse Wireless MK170,1,1,barang_it,"""Teknologi sensor\r\nPenelusuran optik yang mulus\r\nDPI (Min./Maks.): 1000??\r\nTombol\r\nJumlah tombol: 3 (Klik Kiri/Kanan, Klik Tengah)\r\nScrolling\r\nPengguliran baris demi baris\r\nScroll Wheel: Ya, 2D, optik\r\nBaterai\r\nBaterai: 12 bulan 6Daya tahan baterai mungkin bervariasi, berdasarkan pengguna dan komputasi.\r\nInformasi Baterai: 1 X AA (disertakan)\r\nKonektivitas\r\nJenis Koneksi: Koneksi wireless 2.4 GHz\r\nJangkauan wireless: 10 m 7Jangkauan wireless mungkin beragam, bergantung pada pengguna, kondisi lingkungan, dan komputasi.\r\nKoneksi / Daya: Ya, switch on/off""","""Teknologi sensor\r\nPenelusuran optik yang mulus\r\nDPI (Min./Maks.): 1000??\r\nTombol\r\nJumlah tombol: 3 (Klik Kiri/Kanan, Klik Tengah)\r\nScrolling\r\nPengguliran baris demi baris\r\nScroll Wheel: Ya, 2D, optik\r\nBaterai\r\nBaterai: 12 bulan 6Daya tahan baterai mungkin bervariasi, berdasarkan pengguna dan komputasi.\r\nInformasi Baterai: 1 X AA (disertakan)\r\nKonektivitas\r\nJenis Koneksi: Koneksi wireless 2.4 GHz\r\nJangkauan wireless: 10 m 7Jangkauan wireless mungkin beragam, bergantung pada pengguna, kondisi lingkungan, dan komputasi.\r\nKoneksi / Daya: Ya, switch on/off""",130000.00,,unit,10,10,68c26f96c6baa.jpeg,aktif,2025-09-11 06:42:33,2025-09-12 08:31:25,0,0
D-273,DAHUA XVR1B16-I 16CH H265+,1,1,barang_it,"""H.265+/H.265 dual-stream video compression\r\nSupports Full-channel AI-Coding\r\nSupports HDCVI/AHD/TVI/CVBS/IP video inputs\r\nMax 18 channels IP camera inputs, each channel up to 6MP; Max 64 Mbps Incoming Bandwidth\r\nLong transmission distance over coax cable\r\nUp to 8 channels video stream ( analog channel ) SMD Plus""","""H.265+/H.265 dual-stream video compression\r\nSupports Full-channel AI-Coding\r\nSupports HDCVI/AHD/TVI/CVBS/IP video inputs\r\nMax 18 channels IP camera inputs, each channel up to 6MP; Max 64 Mbps Incoming Bandwidth\r\nLong transmission distance over coax cable\r\nUp to 8 channels video stream ( analog channel ) SMD Plus""",1365000.00,,unit,10,10,68c27304d7884.jpeg,aktif,2025-09-11 06:47:44,2025-09-12 04:54:25,0,0
DAHUA-HACT-553,DAHUA HAC-T1A21-U 2MP Camera Indoor,1,1,barang_it,Max. 30 fps@1080p\r\nSmart IR Illumination\r\n25 m illumination distance\r\nQuick-to-install eyeball saves installation time.\r\n3.6 mm fixed lens (2.8 mm optional).\r\nCVI/CVBS/AHD/TVI switchable.,Max. 30 fps@1080p\r\nSmart IR Illumination\r\n25 m illumination distance\r\nQuick-to-install eyeball saves installation time.\r\n3.6 mm fixed lens (2.8 mm optional).\r\nCVI/CVBS/AHD/TVI switchable.,160000.00,,unit,10,10,68c272e84a719.png,aktif,2025-09-11 06:51:11,2025-09-11 06:57:44,0,0
S-316,SEAGATE SKYHWAK MFI 4.0 TB,1,1,barang_it,Form Factor: 3.5 Inch\r\nKapasitas: 1TB / 2TB / 4TB / 6TB\r\nDimensi: 146.9 x 101.8 x 20.2 mm\r\n???Performance\r\nInterface: SATA III 6Gb/s\r\nTransfer Rate: hingga 180 MB/s\r\nRotation Speed: 5400 RPM\r\nCache: 256MB\r\n???Features\r\nMendukung hingga 8 drive bays\r\nMendukung hingga 64 kamera\r\nRecording Technology: SMR\r\n???Reliability\r\nPower On Hours: 8760 jam/tahun (24x7)\r\nWorkload Rate Limit: 180TB/tahun\r\nMTBF: 1.000.000 jam\r\nGaransi resmi: 3 tahun\r\nSeagate Rescue Data Recovery: 3 tahun\r\n???Power Management\r\nStartup Power: 1.8A\r\nIdle Average: 2.5W\r\nOperating Mode: 3.7W\r\nSleep Mode: 0.25W\r\n???Environmental\r\nOperating Temp: 0??C ??? 70??C\r\nNon Operating Temp: -40??C,Form Factor: 3.5 Inch\r\nKapasitas: 1TB / 2TB / 4TB / 6TB\r\nDimensi: 146.9 x 101.8 x 20.2 mm\r\n???Performance\r\nInterface: SATA III 6Gb/s\r\nTransfer Rate: hingga 180 MB/s\r\nRotation Speed: 5400 RPM\r\nCache: 256MB\r\n???Features\r\nMendukung hingga 8 drive bays\r\nMendukung hingga 64 kamera\r\nRecording Technology: SMR\r\n???Reliability\r\nPower On Hours: 8760 jam/tahun (24x7)\r\nWorkload Rate Limit: 180TB/tahun\r\nMTBF: 1.000.000 jam\r\nGaransi resmi: 3 tahun\r\nSeagate Rescue Data Recovery: 3 tahun\r\n???Power Management\r\nStartup Power: 1.8A\r\nIdle Average: 2.5W\r\nOperating Mode: 3.7W\r\nSleep Mode: 0.25W\r\n???Environmental\r\nOperating Temp: 0??C ??? 70??C\r\nNon Operating Temp: -40??C,1700000.00,,unit,10,10,68c27d2bd393c.jpeg,aktif,2025-09-11 06:58:31,2025-09-11 07:41:31,0,0
K-073,Konektor DC Male,1,1,barang_it,"""1. Kualitas Tinggi: Sangat tahan lama, cocok untuk penggunaan jangka panjang.\r\n2. Jenis Konektor: DC Male Connector 2.1 x 5.5mm.\r\n3. Material: Plastik dengan strain relief untuk menjaga kestabilan koneksi.\r\n4. Diameter Internal: 2.1mm.\r\n5. Diameter Eksternal: 5.5mm.\r\n6. Dimensi: 38mm (P) x 14mm (L) x 13mm (T).""","""1. Kualitas Tinggi: Sangat tahan lama, cocok untuk penggunaan jangka panjang.\r\n2. Jenis Konektor: DC Male Connector 2.1 x 5.5mm.\r\n3. Material: Plastik dengan strain relief untuk menjaga kestabilan koneksi.\r\n4. Diameter Internal: 2.1mm.\r\n5. Diameter Eksternal: 5.5mm.\r\n6. Dimensi: 38mm (P) x 14mm (L) x 13mm (T).""",2500.00,,unit,10,10,68c27caf19b2c.jpeg,aktif,2025-09-11 07:01:26,2025-09-11 07:39:27,0,0
KONEKTOR-B-424,KONEKTOR BNC DRAT TW,1,1,barang_it,- Support kabel \r\n- Mudah pemasangan\r\n- Good Quality,- Support kabel \r\n- Mudah pemasangan\r\n- Good Quality,3000.00,,unit,10,10,68c27c959634d.jpg,aktif,2025-09-11 07:04:03,2025-09-11 07:39:01,0,0
